;SentenceId;PhraseId;Phrase;Sentiment
6397;788;18067;I love the opening scenes of a wintry New York City in 1899 .;3
6398;1182;25817;But here 's a movie about it anyway .;1
6399;8262;151498;Oozes condescension from every pore .;2
6400;2984;59146;This Scarlet 's letter is A. . .;2
6401;643;14963;How can such a cold movie claim to express warmth and longing ?;1
6402;285;7071;Is n't as sharp as the original ... Despite some visual virtues , ` Blade II ' just does n't cut it .;1
6403;1481;31611;"There 's an excellent 90-minute film here ; unfortunately , it runs for 170 .";1
6404;7975;146593;Pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of God in the fifth Trek flick .;1
6405;2505;50884;Diverting French comedy in which a husband has to cope with the pesky moods of jealousy .;2
6406;8185;150269;If you 're really renting this you 're not interested in discretion in your entertainment choices , you 're interested in Anne Geddes , John Grisham , and Thomas Kincaid .;2
6407;5758;108769;Get out your pooper-scoopers .;0
6408;2845;56635;The script is smart , not cloying .;3
6409;4117;79911;A poignant lyricism runs through Balzac and the Little Chinese Seamstress that transforms this story about love and culture into a cinematic poem .;4
6410;539;12562;` This movie sucks . ';0
6411;5868;110755;... a low rate Annie featuring some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school .;1
6412;5547;105007;Suffers from a decided lack of creative storytelling .;2
6413;7181;133152;Life or Something Like It has its share of high points , but it misses too many opportunities .;2
6414;3351;66046;I know we 're not supposed to take it seriously , but I ca n't shake the thought that Undercover Brother missed an opportunity to strongly present some profound social commentary .;2
6415;4442;85831;By the end of the movie , you 're definitely convinced that these women are spectacular .;3
6416;1280;27869;I wish Windtalkers had had more faith in the dramatic potential of this true story .;2
6417;2193;45154;Rabbit-Proof Fence will probably make you angry .;2
6418;5872;110818;As chilling and fascinating as Philippe Mora 's modern Hitler-study , Snide and Prejudice .;3
6419;4438;85777;A bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .;3
6420;566;13166;This is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .;3
6421;7077;131333;No new plot conceptions or environmental changes , just different bodies for sharp objects to rip through .;1
6422;5907;111374;Another boorish movie from the I-heard-a-joke - at-a-frat-party school of screenwriting .;0
6423;5783;109215;This is just lazy writing .;0
6424;3059;60588;... the story simply putters along looking for astute observations and coming up blank .;1
6425;700;16196;While Tattoo borrows heavily from both Seven and The Silence of the Lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .;4
6426;7982;146730;But Mr. Polanski creates images even more haunting than those in Mr. Spielberg 's 1993 classic .;4
6427;5929;111703;Beautiful to watch and holds a certain charm .;4
6428;4655;89515;Hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?;0
6429;2429;49591;Cool .;3
6430;847;19289;This movie is about the worst thing Chan has done in the United States .;0
6431;5448;103323;Visually exciting sci-fi film which suffers from a lackluster screenplay .;2
6432;2782;55658;I do n't think so .;1
