;SentenceId;PhraseId;Phrase;Sentiment
7096;7108;131841;Michele is a such a brainless flibbertigibbet that it 's hard to take her spiritual quest at all seriously .;-1
6876;6887;128029;The question hanging over The Time Machine is not , as the main character suggests , ` what if ? ';0
7310;7322;135561;Worse than ` Silence of the Lambs ' better than ` Hannibal ';0
7002;7014;130241;Ninety minutes of Viva Castro !;0
6629;6639;123623;Dong shows how intolerance has the power to deform families , then tear them apart .;0
6982;6994;129911;Graham Greene 's novel of colonialism and empire is elevated by Michael Caine 's performance as a weary journalist in a changing world .;1
6441;6451;120640;It grabs you in the dark and shakes you vigorously for its duration .;1
7044;7056;130906;Mushes the college-friends genre -LRB- The Big Chill -RRB- together with the contrivances and overwrought emotion of soap operas .;0
6544;6554;122262;-LRB- H -RRB- ad I suffered and bled on the hard ground of Ia Drang , I 'd want something a bit more complex than We Were Soldiers to be remembered by .;-1
6489;6499;121347;Nettelbeck ... has a pleasing way with a metaphor .;1
6548;6558;122343;Simply and eloquently articulates the tangled feelings of particular New Yorkers deeply touched by an unprecedented tragedy .;1
6786;6797;126431;An excellent sequel .;1
6997;7009;130161;Buries an interesting storyline;0
6552;6562;122391;A stirring , funny and finally transporting re-imagining of Beauty and the Beast and 1930s horror films;1
6915;6927;128788;It 's a strange film , one that was hard for me to warm up to .;-1
6792;6803;126505;Last Orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .;1
6519;6529;121839;If the predictability of bland comfort food appeals to you , then the film is a pleasant enough dish .;-1
6458;6468;120864;One of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch .;-1
6452;6462;120770;The story plays out slowly , but the characters are intriguing and realistic .;1
7286;7298;135194;An absorbing and unsettling psychological drama .;1
7112;7124;132136;The plan to make Enough into ` an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ';0
7460;7474;138137;I prefer to think of it as `` Pootie Tang with a budget . '';0
6867;6878;127865;Feeling like a dope has rarely been more fun than it is in Nine Queens .;0
6778;6789;126301;It 's affecting , amusing , sad and reflective .;1
6857;6868;127691;In the telling of a story largely untold , Bui chooses to produce something that is ultimately suspiciously familiar .;0
7305;7317;135494;Worth a look as a curiosity .;1
7357;7370;136317;A respectable venture on its own terms , lacking the broader vision that has seen certain Trek films ... cross over to a more mainstream audience .;0
7157;7169;132918;With the dog days of August upon us , think of this dog of a movie as the cinematic equivalent of high humidity .;-1
