;SentenceId;PhraseId;Phrase;Sentiment
3199;723;16739;Successfully blended satire , high camp and yet another sexual taboo into a really funny movie .;3
3200;8476;154926;The idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run .;1
3201;5579;105685;And Lee seems just as expectant of an adoring , wide-smiling reception .;3
3202;2636;53130;Ultimately , Jane learns her place as a girl , softens up and loses some of the intensity that made her an interesting character to begin with .;2
3203;1068;23573;A loquacious and dreary piece of business .;1
3204;2228;45814;A little objectivity could have gone a long way .;2
3205;1082;23806;On its icy face , the new film is a subzero version of Monsters , Inc. , without the latter 's imagination , visual charm or texture .;0
3206;4876;93515;After sitting through this sloppy , made-for-movie comedy special , it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work .;0
3207;1254;27266;It plods along methodically , somehow under the assumption that its `` dead wife communicating from beyond the grave '' framework is even remotely new or interesting .;1
3208;6514;121565;Fluffy and disposible .;1
3209;2236;45960;Bogdanovich puts history in perspective and , via Kirsten Dunst 's remarkable performance , he showcases Davies as a young woman of great charm , generosity and diplomacy .;3
3210;8524;155722;Downbeat , period-perfect biopic hammers home a heavy-handed moralistic message .;3
3211;6478;120976;Another Best of the Year selection .;4
3212;7703;141999;Fun and nimble .;4
3213;858;19539;The uneven movie does have its charms and its funny moments but not quite enough of them .;1
3214;4116;79894;The plot 's clearly mythic structure may owe more to Disney 's strong sense of formula than to the original story .;2
3215;8087;148633;When compared to the usual , more somber festival entries , Davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air that stands out from the pack even if the picture itself is somewhat problematic .;4
3216;1196;26104;But they fascinate in their recklessness .;3
3217;2286;46906;Cassavetes thinks he 's making Dog Day Afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon .;1
3218;5516;104508;Though Impostor deviously adopts the guise of a modern motion picture , it too is a bomb .;1
3219;5411;102707;Sayles has an eye for the ways people of different ethnicities talk to and about others outside the group .;3
3220;3641;71371;"About one in three gags in White 's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .";1
3221;8349;152948;Michel Piccoli 's moving performance is this films reason for being .;3
3222;5431;103032;The year 2002 has conjured up more coming-of-age stories than seem possible , but Take Care of My Cat emerges as the very best of them .;4
3223;7705;142012;Sitting in the third row of the IMAX cinema at Sydney 's Darling Harbour , but I sometimes felt as though I was in the tiny two seater plane that carried the giant camera around Australia , sweeping and gliding , banking and hovering over some of the most not;3
3224;7715;142184;The 70-year-old Godard has become , to judge from In Praise of Love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large without doing all that much to correct them .;2
3225;4707;90428;What little grace -LRB- Rifkin 's -RRB- tale of precarious skid-row dignity achieves is pushed into the margins by predictable plotting and tiresome histrionics .;1
3226;3543;69661;Trailer trash cinema so uncool the only thing missing is the `` Gadzooks ! '';1
3227;3364;66316;As banal as the telling may be -- and at times , All My Loved Ones more than flirts with kitsch -- the tale commands attention .;3
3228;2663;53632;A depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women .;0
3229;2151;44384;Obviously , a lot of people wasted a lot of their time -LRB- including mine -RRB- on something very inconsequential .;1
3230;5308;101040;With the exception of McCoist , the players do n't have a clue on the park .;1
3231;8008;147170;There 's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do Joan and Philip 's repetitive arguments , schemes and treachery .;1
3232;7254;134467;The graphic carnage and re-creation of war-torn Croatia is uncomfortably timely , relevant , and sickeningly real .;3
3233;5001;95734;While this film has an ` A ' list cast and some strong supporting players , the tale -- like its central figure , Vivi -- is just a little bit hard to love .;1
3234;3814;74415;What lifts the film high above run-of-the-filth gangster flicks is its refusal to recognise any of the signposts , as if discovering a way through to the bitter end without a map .;3
3235;2833;56433;Whether this is art imitating life or life imitating art , it 's an unhappy situation all around .;1
3236;1029;22733;Interesting , but not compelling .;2
3237;1425;30637;All in all , Road to Perdition is more in love with strangeness than excellence .;3
3238;1365;29461;As Hannibal would say , yes , ` It 's like having an old friend for dinner ' .;3
3239;7687;141704;The Paradiso 's rusted-out ruin and ultimate collapse during the film 's final -LRB- restored -RRB- third ... emotionally belittle a cinema classic .;0
3240;109;2841;Filmmaker Tian Zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power .;4
3241;3906;76126;With the prospect of films like Kangaroo Jack about to burst across America 's winter movie screens it 's a pleasure to have a film like The Hours as an alternative .;3
3242;1301;28255;there is truth here;3
3243;1645;34955;Kicks off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .;1
3244;5224;99587;If the movie were all comedy , it might work better .;2
3245;5459;103501;` Anyone with a passion for cinema , and indeed sex , should see it as soon as possible . ';4
3246;1947;40656;Poetic , heartbreaking .;3
3247;6171;115813;I have always appreciated a smartly written motion picture , and , whatever flaws Igby Goes Down may possess , it is undeniably that .;3
3248;1709;36172;of whimsicality , narrative discipline and serious improvisation;3
3249;6424;120097;It 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .;3
3250;4899;93894;For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .;4
3251;6162;115618;Very well-written and very well-acted .;4
