;SentenceId;PhraseId;Phrase;Sentiment
7887;7901;145400;-LRB- Clooney 's -RRB- debut can be accused of being a bit undisciplined , but it has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the Coen brothers and Steven Soderbergh .;3
7637;7651;141065;The trailer is a riot .;4
8449;8464;154740;Familiar but utterly delightful .;3
7993;8007;147134;A film that begins with the everyday lives of naval personnel in San Diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times I saw the film .;4
8370;8384;153508;A powerful performance from Mel Gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an M-16 .;4
8346;8360;153080;Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural , sexual and social discord .;2
8366;8380;153435;Whether you like it or not is basically a matter of taste .;2
8024;8038;147720;It would n't matter so much that this arrogant Richard Pryor wannabe 's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny .;1
8298;8312;152330;`` The Adventures of Pluto Nash '' is a big time stinker .;0
7613;7627;140547;Max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished .;3
7792;7806;143825;Baran is shockingly devoid of your typical Majid Majidi shoe-loving , crippled children .;1
8476;8491;155131;with a couple of burnt-out cylinders;2
7592;7606;140175;Take nothing seriously and enjoy the ride .;3
8249;8263;151501;Clumsy , obvious , preposterous , the movie will likely set the cause of woman warriors back decades .;0
8462;8477;154958;Woefully pretentious .;1
7964;7978;146655;Like being able to hit on a 15-year old when you 're over 100 .;1
8254;8268;151576;The film 's plot may be shallow , but you 've never seen the deep like you see it in these harrowing surf shots .;3
7929;7943;146074;But the talented cast alone will keep you watching , as will the fight scenes .;4
7596;7610;140233;It 's soulful and unslick , and that 's apparently just what -LRB- Aniston -RRB- has always needed to grow into a movie career .;4
8257;8271;151628;If Jews were Catholics , this would be Catechism;2
7824;7838;144365;smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off - Broadway play .;4
7974;7988;146823;`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme .;4
7985;7999;146956;One of the best of a growing strain of daring films ... that argue that any sexual relationship that does n't hurt anyone and works for its participants is a relationship that is worthy of our respect .;3
8297;8311;152310;An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences .;3
8077;8091;148715;Haneke 's script -LRB- from Elfriede Jelinek 's novel -RRB- is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending .;0
8028;8042;147807;I am not generally a huge fan of cartoons derived from TV shows , but Hey Arnold !;3
7766;7780;143322;Jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .;2
8418;8432;154285;A period story about a Catholic boy who tries to help a Jewish friend get into heaven by sending the audience straight to hell .;0
8353;8367;153201;Anyone who 's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved .;2
8507;8522;155700;Exhilarating , funny and fun .;4
7642;7656;141137;Directing with a sure and measured hand , -LRB- Haneke -RRB- steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .;3
7797;7811;143927;The film 's maudlin focus on the young woman 's infirmity and her naive dreams play like the worst kind of Hollywood heart-string plucking .;1
7795;7809;143890;Slap me , I saw this movie .;0
7938;7952;146243;A chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` In space , no one can hear you snore . ';0
7874;7888;145180;The comedy is nonexistent .;0
7865;7879;145047;I found myself liking the film , though in this case one man 's treasure could prove to be another man 's garbage .;2
8129;8143;149610;Douglas McGrath 's Nicholas Nickleby does Dickens as it should be done cinematically .;4
7966;7980;146698;There 's not a fresh idea at the core of this tale .;1
7955;7969;146491;The movie is a desperate miscalculation .;0
8199;8213;150678;The satire is unfocused , while the story goes nowhere .;0
8364;8378;153381;Imagine Kevin Smith , the blasphemous bad boy of suburban Jersey , if he were stripped of most of his budget and all of his sense of humor .;0
7497;7511;138640;A slow-moving police-procedural thriller that takes its title all too literally .;1
8045;8059;148070;The only time 8 Crazy Nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers .;2
8298;8312;152330;`` The Adventures of Pluto Nash '' is a big time stinker .;0
7809;7823;144119;A decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .;0
8054;8068;148243;If anything , see it for Karen Black , who camps up a storm as a fringe feminist conspiracy theorist named Dirty Dick .;3
8475;8490;155118;An engaging , formulaic sports drama that carries a charge of genuine excitement .;3
8205;8219;150801;This is a movie full of grace and , ultimately , hope .;4
7905;7919;145671;Such a wildly uneven hit-and-miss enterprise , you ca n't help suspecting that it was improvised on a day-to-day basis during production .;1
8074;8088;148667;The best thing about the movie is its personable , amusing cast .;3
7838;7852;144662;The fun of the movie is the chance it affords to watch Jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .;4
8238;8252;151359;A pleasant , if forgettable , romp of a film .;2
7534;7548;139249;Surprisingly powerful and universal .;4
8231;8245;151228;While general audiences might not come away with a greater knowledge of the facts of Cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .;4
7976;7990;146853;A mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .;4
7501;7515;138672;The drama was so uninspiring that even a story immersed in love , lust , and sin could n't keep my attention .;0
8156;8170;150013;Snipes is both a snore and utter tripe .;1
8000;8014;147274;A must for fans of British cinema , if only because so many titans of the industry are along for the ride .;4
8264;8278;151717;Arteta paints a picture of lives lived in a state of quiet desperation .;3
7845;7859;144774;Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ...;2
7875;7889;145183;The first Bond movie in ages that is n't fake fun .;3
7500;7514;138666;Where their heads were is anyone 's guess .;1
7585;7599;140046;Even though it 's common knowledge that Park and his founding partner , Yong Kang , lost Kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .;3
7672;7686;141670;Instead of letting the laughs come as they may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick .;0
8003;8017;147333;At a time when we 've learned the hard way just how complex international terrorism is , Collateral Damage paints an absurdly simplistic picture .;1
7476;7490;138345;... `` Bowling for Columbine '' remains a disquieting and thought-provoking film ...;3
