;SentenceId;PhraseId;Phrase;Sentiment
6343;6352;118856;The pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by Charlie Kaufman and his twin brother , Donald , and directed by Spike Jonze .;1
5936;5944;111974;A pathetic exploitation film that tries to seem sincere , and just seems worse for the effort .;-1
6228;6237;116890;It rapidly develops into a gut-wrenching examination of the way cultural differences and emotional expectations collide .;1
5950;5958;112217;Interesting and thoroughly unfaithful version of Carmen;1
6038;6046;113756;Its director 's most substantial feature for some time .;1
6302;6311;118127;The good thing -- the only good thing -- about Extreme Ops is that it 's so inane that it gave me plenty of time to ponder my Thanksgiving to-do list .;0
6356;6366;119102;Personal Velocity ought to be exploring these women 's inner lives , but it never moves beyond their surfaces .;0
6098;6106;114731;A movie that falls victim to frazzled wackiness and frayed satire .;0
5615;5621;106422;Murphy and Wilson actually make a pretty good team ... but the project surrounding them is distressingly rote .;-1
5707;5714;107997;Watching The Powerpuff Girls Movie , my mind kept returning to one anecdote for comparison : the cartoon in Japan that gave people seizures .;1
5493;5499;104238;Those of you who do n't believe in Santa Claus probably also think that sequels can never capture the magic of the original .;0
6390;6400;119654;How about starting with a more original story instead of just slapping extreme humor and gross-out gags on top of the same old crap ?;0
6139;6147;115364;You might be shocked to discover that Seinfeld 's real life is boring .;0
6010;6018;113279;One of the most exciting action films to come out of China in recent years .;1
5465;5471;103767;"But this is not a movie about an inhuman monster ; it 's about a very human one .";0
6216;6224;116702;The most remarkable -LRB- and frustrating -RRB- thing about World Traveler , which opens today in Manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank .;0
5360;5366;101948;Elaborate special effects take centre screen , so that the human story is pushed to one side .;1
6282;6291;117800;A great cast and a wonderful but sometimes confusing flashback movie about growing up in a dysfunctional family .;1
5541;5547;105007;Suffers from a decided lack of creative storytelling .;0
5798;5805;109559;An artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike .;-1
5692;5699;107791;Oh , and Booty Call .;0
5956;5964;112301;The niftiest trick perpetrated by The Importance of Being Earnest is the alchemical transmogrification of Wilde into Austen -- and a Hollywood-ized Austen at that .;0
5734;5741;108490;`` What really happened ? '';0
5589;5595;105972;Banal and predictable .;-1
5758;5765;108891;The inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror\/action hybrid .;-1
6112;6120;114913;Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Shower , was a non-threatening multi-character piece centered around a public bath house .;0
5516;5522;104575;Nothing about this movie works .;-1
5619;5625;106534;Arguably the best script that Besson has written in years .;1
5671;5677;107458;... a triumph of emotionally and narratively complex filmmaking .;1
5686;5692;107709;Everything about The Quiet American is good , except its timing .;1
6220;6228;116771;It 's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .;0
6064;6072;114185;Personal Velocity has a no-frills docu-Dogma plainness , yet Miller lingers on invisible , nearly psychic nuances , leaping into digressions of memory and desire .;0
6207;6215;116548;Schneider 's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story 's continuity and progression .;0
5785;5792;109357;The film 's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature\/nurture argument in regards to homosexuality .;-1
6236;6245;117054;"My Wife 's plotting is nothing special ; it 's the delivery that matters here .";0
6220;6228;116771;It 's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .;0
6337;6346;118724;Cinematic pratfalls given a working over .;0
5873;5880;110980;The performances are immaculate , with Roussillon providing comic relief .;1
5473;5479;103887;A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .;0
5946;5954;112142;"The performances are all solid ; it merely lacks originality to make it a great movie .";0
5349;5355;101711;Although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful .;-1
5435;5441;103152;What 's needed so badly but what is virtually absent here is either a saving dark humor or the feel of poetic tragedy .;-1
5356;5362;101868;Creeps you out in high style , even if Nakata did it better .;0
6367;6377;119305;It 's a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear .;0
6283;6292;117814;Stealing Harvard will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : A few early laughs scattered around a plot as thin as it is repetitious .;-1
5440;5446;103274;A fascinating examination of the joyous , turbulent self-discovery made by a proper , middle-aged woman .;1
5458;5464;103589;The sight of the name Bruce Willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind -- maybe too much .;0
6009;6017;113255;Wraps itself in the guise of a dark and quirky comedy , but it is n't as quirky as it thinks it is and its comedy is generally mean-spirited .;0
