;SentenceId;PhraseId;Phrase;Sentiment
7463;217;5429;A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find .;1
7464;5202;99197;One of the smarter offerings the horror genre has produced in recent memory , even if it 's far tamer than advertised .;3
7465;1387;29912;The only reason you should see this movie is if you have a case of masochism and an hour and a half to blow .;1
7466;5456;103443;Poignant and moving , A Walk to Remember is an inspirational love story , capturing the innocence and idealism of that first encounter .;4
7467;301;7369;To the filmmakers , Ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit .;1
7468;5823;109920;Been there , done that , liked it much better the first time around - when it was called The Professional .;1
7469;6793;126347;Khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .;3
7470;399;9582;To be oblivious to the existence of this film would be very sweet indeed .;1
7471;3640;71359;A limp Eddie Murphy vehicle that even he seems embarrassed to be part of .;0
7472;7716;142229;An ambitious , guilt-suffused melodrama crippled by poor casting .;1
7473;2349;48179;Shafer 's feature does n't offer much in terms of plot or acting .;1
7474;1497;31982;A simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .;4
7475;2700;54319;A well-crafted film that is all the more remarkable because it achieves its emotional power and moments of revelation with restraint and a delicate ambiguity .;3
7476;253;6352;Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .;3
7477;6890;128065;When in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip .;2
7478;5215;99456;But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .;2
7479;885;19954;An erotic thriller that 's neither too erotic nor very thrilling , either .;0
7480;7154;132689;No French people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .;0
7481;8070;148284;What remains is a variant of the nincompoop Benigni persona , here a more annoying , though less angry version of the irresponsible Sandlerian manchild , undercut by the voice of the star of Road Trip .;0
7482;1512;32254;Jackson is always watchable .;3
7483;3426;67474;The only entertainment you 'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them .;0
7484;2708;54475;In the end , Tuck Everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in .;1
7485;8326;152563;The overall vibe is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors .;1
7486;1809;38035;Bill Morrison 's Decasia is uncompromising , difficult and unbearably beautiful .;4
7487;5453;103414;Provides a porthole into that noble , trembling incoherence that defines us all .;2
7488;4204;81505;Broomfield reminds us that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed .;3
7489;7435;137427;The music makes a nice album , the food is enticing and Italy beckons us all .;4
7490;7197;133355;In the new release of Cinema Paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .;4
7491;505;11698;It 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen .;3
7492;7597;140012;A polished and vastly entertaining caper film that puts the sting back into the con .;3
7493;4188;81243;Exciting and well-paced .;4
7494;3148;62263;If you 're not totally weirded - out by the notion of cinema as community-therapy spectacle , Quitting hits home with disorienting force .;2
7495;3365;66339;An acceptable way to pass a little over an hour with moviegoers ages 8-10 , but it 's unlikely to inspire anything more than a visit to McDonald 's , let alone some savvy street activism .;1
7496;425;10116;Some Body smacks of exhibitionism more than it does cathartic truth telling .;1
7497;8503;155349;If you open yourself up to Mr. Reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .;3
7498;5379;102206;Laconic and very stilted in its dialogue , this indie flick never found its audience , probably because it 's extremely hard to relate to any of the characters .;1
7499;1940;40532;All Analyze That proves is that there is really only one movie 's worth of decent gags to be gleaned from the premise .;2
7500;6015;113220;Tennessee Williams by way of Oprah 's Book Club .;2
7501;2897;57439;From beginning to end , this overheated melodrama plays like a student film .;2
7502;2644;53268;A low-key labor of love that strikes a very resonant chord .;3
7503;421;10004;It 's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today .;4
7504;473;11082;A heartening tale of small victories and enduring hope .;3
7505;6014;113211;A coming-of-age movie that Hollywood would n't have the guts to make .;4
7506;5754;108699;First and foremost ... the reason to go see `` Blue Crush '' is the phenomenal , water-born cinematography by David Hennings .;4
7507;4804;92295;It 's horribly depressing and not very well done .;0
7508;4416;85386;Comes off as a long , laborious whine , the bellyaching of a paranoid and unlikable man .;0
7509;1216;26499;A crass and insulting homage to great films like Some Like It Hot and the John Wayne classics .;0
7510;5383;102296;No big hairy deal .;2
7511;8148;149677;The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .;2
7512;3481;68572;Lovely and Amazing is Holofcener 's deep , uncompromising curtsy to women she knows , and very likely is .;3
7513;2036;42269;-LRB- It -RRB- highlights not so much the crime lord 's messianic bent , but Spacey 's .;2
7514;3221;63632;In the end , though , it is only mildly amusing when it could have been so much more .;2
7515;7457;137792;The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis -LRB- Auteil -RRB- and Emilie -LRB- Le Besco -RRB- .;2
7516;314;7729;Ultimately , clarity matters , both in breaking codes and making movies .;2
7517;6345;118709;Scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar .;4
7518;6826;126962;Avary 's film never quite emerges from the shadow of Ellis ' book .;2
7519;7706;142066;Just a Kiss is a just a waste .;1
7520;1868;39155;Five screenwriters;2
7521;1726;36492;Even if the Naipaul original remains the real masterpiece , the movie possesses its own languorous charm .;4
7522;6022;113314;The success of Undercover Brother is found in its ability to spoof both black and white stereotypes equally .;3
7523;4157;80698;an appalling ` Ace Ventura ' rip-off that somehow manages to bring together Kevin Pollak , former wrestler Chyna and Dolly Parton .;0
7524;5058;96807;One sloughs one 's way through the mire of this alleged psychological thriller in search of purpose or even a plot .;0
7525;1004;22308;None of this is very original , and it is n't particularly funny .;0
7526;8344;152870;A chilly , brooding but quietly resonant psychological study of domestic tension and unhappiness .;3
7527;1863;39039;On its own , it 's not very interesting .;1
7528;6175;115858;The script 's judgment and sense of weight is way , way off .;0
7529;6527;121801;Parents , on the other hand , will be ahead of the plot at all times , and there is n't enough clever innuendo to fil;2
7530;7614;140294;Not too fancy , not too filling , not too fluffy , but definitely tasty and sweet .;3
7531;1705;36113;He drags it back , single-handed .;3
7532;6664;124125;The problems of the people in Love in the Time of Money are hardly specific to their era .;2
7533;3882;75728;The viewer takes great pleasure in watching the resourceful Molly stay a step ahead of her pursuers .;3
7534;5458;103487;It 's not life-affirming -- its vulgar and mean , but I liked it .;2
7535;1360;29348;After several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions , especially because Half Past Dead is like The Rock on a Wal-Mart budget .;0
7536;2981;59082;Without resorting to camp or parody , Haynes -LRB- like Sirk , but differently -RRB- has transformed the rhetoric of Hollywood melodrama into something provocative , rich , and strange .;4
7537;1570;33478;A story which fails to rise above its disgusting source material .;0
7538;5482;103944;An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .;4
7539;6213;116517;A B-movie you can sit through , enjoy on a certain level and then forget .;3
7540;3125;61828;The cast is phenomenal , especially the women .;4
7541;4962;95140;More likely to have you scratching your head than hiding under your seat .;1
7542;6690;124504;He allows his cast members to make creative contributions to the story and dialogue .;3
7543;5424;102945;A thoroughly enjoyable , heartfelt coming-of-age comedy .;3
7544;7019;130295;Whether Jason X is this bad on purpose is never clear .;0
7545;8005;147070;Tom Green and an Ivy League college should never appear together on a marquee , especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800 .;2
7546;4941;94675;The cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge .;0
7547;1808;38020;At its best ... Festival in Cannes bubbles with the excitement of the festival in Cannes .;2
7548;5773;109022;Though a capable thriller , somewhere along the way K-19 jettisoned some crucial drama .;1
7549;3452;68010;Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .;4
7550;6502;121380;Mike White 's deft combination of serious subject matter and dark , funny humor make `` The Good Girl '' a film worth watching .;4
7551;953;21310;The respective charms of Sandra Bullock and Hugh Grant have worn threadbare .;2
7552;2522;51242;Despite some charm and heart , this quirky soccer import is forgettable;1
7553;1072;23610;But it 's defiantly and delightfully against the grain .;3
7554;2201;45257;Both damning and damned compelling .;3
7555;3912;76239;Queen of the Damned is too long with too little going on .;1
7556;989;22026;A small fortune in salaries and stunt cars might have been saved if the director , Tom Dey , had spliced together bits and pieces of Midnight Run and 48 Hours -LRB- and , for that matter , Shrek -RRB- .;1
7557;3696;72326;The filmmakers lack the nerve ... to fully exploit the script 's potential for sick humor .;2
7558;608;14099;A compelling allegory about the last days of Germany 's democratic Weimar Republic .;3
7559;7275;134768;... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny .;1
7560;2901;57507;Yet this one makes up for in heart what it lacks in outright newness .;3
7561;3424;67455;Garcia and the other actors help make the wobbly premise work .;3
7562;1036;22877;-LRB- Stephen -RRB- Earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have .;3
7563;1717;36334;I like it .;3
7564;8493;155154;A moving story of determination and the human spirit .;4
7565;6471;120911;Fierce , glaring and unforgettable .;3
7566;4084;79305;Mindless yet impressively lean spinoff of last summer 's bloated effects fest The Mummy Returns .;3
7567;7095;131639;In both the writing and cutting , it does not achieve the kind of dramatic unity that transports you .;2
7568;843;19220;Interminably bleak , to say nothing of boring .;0
7569;1666;35418;Certainly .;2
7570;2452;49955;Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .;0
7571;2520;51191;Art-house to the core , Read My Lips is a genre-curling crime story that revives the free-wheeling noir spirit of old French cinema .;3
7572;4988;95536;-LRB- T -RRB- oo many of these gross out scenes ...;1
7573;1546;32996;Jason Patric and Ray Liotta make for one splendidly cast pair .;4
7574;2568;52046;One of the worst movies of the year .;0
7575;2612;52734;-LRB- Gayton 's script -RRB- telegraphs every discovery and layers on the gloss of convenience .;3
7576;1527;32552;While I ca n't say it 's on par with the first one , Stuart Little 2 is a light , fun cheese puff of a movie .;3
7577;5876;110883;Nicholas Nickleby celebrates the human spirit with such unrelenting Dickensian decency that it turned me -LRB- horrors ! -RRB-;3
7578;2399;49100;Even if The Ring has a familiar ring , it 's still unusually crafty and intelligent for Hollywood horror .;3
7579;6087;114441;After Collateral Damage;2
7580;3695;72286;Well , Jason 's gone to Manhattan and Hell , I guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels -LRB- hey , do n't shoot the messenger -RRB- .;1
7581;7675;141458;... Stylistically , the movie is a disaster .;0
7582;4253;82361;Beware the quirky Brit-com .;1
7583;7277;134823;There 's a reason why halftime is only fifteen minutes long .;1
7584;4151;80614;The 50-something lovebirds are too immature and unappealing to care about .;0
7585;5218;99501;A highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world .;2
7586;3033;60126;While easier to sit through than most of Jaglom 's self-conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points .;1
7587;912;20404;The subtitled costume drama is set in a remote African empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .;3
7588;4737;91062;Even with all its botches , Enigma offers all the pleasure of a handsome and well-made entertainment .;3
7589;7031;130484;-LRB- Jackson and Bledel -RRB- seem to have been picked not for their acting chops , but for their looks and appeal to the pre-teen crowd .;1
7590;1505;32127;A painfully slow cliche-ridden film filled with more holes than Clyde Barrow 's car .;1
7591;2597;52477;Would Benigni 's Italian Pinocchio have been any easier to sit through than this hastily dubbed disaster ?;0
7592;1145;25062;The film virtually chokes on its own self-consciousness .;2
7593;7688;141729;It 's quite diverting nonsense .;1
7594;8072;148332;An old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts .;3
7595;5102;97552;None of the characters or plot-lines are fleshed-out enough to build any interest .;1
7596;3512;69116;As immaculate as Stuart Little 2 is , it could be a lot better if it were , well , more adventurous .;3
7597;5276;100535;The film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in .;2
7598;6272;117524;Cuba Gooding Jr. valiantly mugs his way through Snow Dogs , but even his boisterous energy fails to spark this leaden comedy .;1
7599;1861;39009;If you do n't laugh , flee .;2
7600;2701;54344;Unspools like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers .;2
7601;448;10592;What Eric Schaeffer has accomplished with Never Again may not , strictly speaking , qualify as revolutionary .;2
7602;1247;27102;As a movie , it never seems fresh and vital .;2
7603;359;8645;Not as good as the original , but what is ...;2
7604;3613;70873;Some elements of it really blow the big one , but other parts are decent .;2
7605;3852;75119;It treats Ana 's journey with honesty that is tragically rare in the depiction of young women in film .;3
7606;4966;95198;A directorial tour de force by Bernard Rose , ivans xtc .;3
7607;4495;86756;There 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .;3
7608;1324;28618;Strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , The Four Feathers comes up short .;0
7609;1542;32912;Like Kissing Jessica Stein , Amy 's Orgasm has a key strength in its willingness to explore its principal characters with honesty , insight and humor .;3
7610;8218;150764;It 's excessively quirky and a little underconfident in its delivery , but otherwise this is the best ` old neighborhood ' project since Christopher Walken kinda romanced Cyndi Lauper in The Opportunists .;3
7611;8345;152884;Smart and fun , but far more witty than it is wise .;3
7612;271;6766;A mesmerizing cinematic poem from the first frame to the last .;4
7613;7552;139286;The best comedy concert movie I 've seen since Cho 's previous concert comedy film , I 'm the One That I Want , in 2000 .;4
7614;5098;97466;A deliberative account of a lifestyle characterized by its surface-obsession -- one that typifies the delirium of post , pre , and extant stardom .;3
7615;4153;80652;Eyre is on his way to becoming the American Indian Spike Lee .;3
7616;3524;69320;A thoroughly engaging , surprisingly touching British comedy .;4
7617;2007;41699;The sequel is everything the original was not : contrived , overblown and tie-in ready .;2
7618;2956;58653;Peter Jackson has done the nearly impossible .;3
7619;5452;103406;Kapur weighs down the tale with bogus profundities .;1
7620;7596;139993;Sweet Home Alabama is one dumb movie , but its stupidity is so relentlessly harmless that it almost wins you over in the end .;2
7621;2638;53173;It 's an ambitious film , and as with all ambitious films , it has some problems .;3
7622;4232;82026;What enlivens this film , beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .;3
7623;6033;113485;About Schmidt belongs to Nicholson .;3
7624;2378;48704;It makes compelling , provocative and prescient viewing .;4
7625;7134;132314;It 's mildly sentimental , unabashedly consumerist ... studiously inoffensive and completely disposable .;1
7626;2300;47194;The movie 's gloomy atmosphere is fascinating , though , even if the movie itself does n't stand a ghost of a chance .;2
7627;7989;146847;Diane Lane works nothing short of a minor miracle in Unfaithful .;4
7628;35;945;Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .;2
7629;4861;93225;What emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice .;3
7630;7206;133566;A photographic marvel of sorts , and it 's certainly an invaluable record of that special fishy community .;3
7631;6730;125255;A. . .;2
7632;4778;91790;If Oscar had a category called Best Bad Film You Thought Was Going To Be Really Awful But Was n't , Guys would probably be duking it out with The Queen of the Damned for the honor .;1
7633;6716;124952;Even though the film does n't manage to hit all of its marks , it 's still entertaining to watch the target practice .;3
7634;1105;24316;Everyone 's to blame here .;1
7635;1420;30559;Nothing short of wonderful with its ten-year-old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil .;4
7636;1781;37495;What starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .;1
7637;8030;147568;The hard-to-predict and absolutely essential chemistry between the down-to-earth Bullock and the nonchalant Grant proves to be sensational , and everything meshes in this elegant entertainment .;4
7638;6706;124780;Watching junk like this induces a kind of abstract guilt , as if you were paying dues for good books unread , fine music never heard .;1
7639;2483;50480;Fails to convince the audience that these brats will ever be anything more than losers .;1
7640;5132;97969;... expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape .;1
7641;5505;104347;Sometimes entertaining , sometimes indulgent -- but never less than pure wankery .;2
7642;1960;40890;A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .;1
7643;2367;48442;C'mon !;2
7644;6147;115364;You might be shocked to discover that Seinfeld 's real life is boring .;2
7645;3400;66975;I loved this film .;4
7646;5634;106665;It puts Washington , as honest working man John Q. Archibald , on a pedestal , then keeps lifting the pedestal higher .;3
7647;2749;55124;What with the incessant lounge music playing in the film 's background , you may mistake Love Liza for an Adam Sandler Chanukah song .;2
7648;5065;96886;Shrewd but pointless .;1
7649;493;11453;Captures the raw comic energy of one of our most flamboyant female comics .;4
7650;5360;101825;Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups .;2
7651;2779;55633;Lacks depth .;1
7652;1568;33436;Rubbo runs through a remarkable amount of material in the film 's short 90 minutes .;3
7653;3589;70404;A lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers .;4
7654;7103;131758;Often likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy .;3
7655;935;20939;`` the road paved with good intentions leads to the video store '';3
7656;7864;144841;A distinguished and thoughtful film , marked by acute writing and a host of splendid performances .;4
7657;4507;86932;It 's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 .;1
7658;6767;125953;The message of such reflections -- intentional or not -- is that while no art grows from a vacuum , many artists exist in one .;2
7659;7549;139252;Features nonsensical and laughable plotting , wooden performances , ineptly directed action sequences and some of the worst dialogue in recent memory .;0
7660;7656;141137;Directing with a sure and measured hand , -LRB- Haneke -RRB- steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .;3
7661;3188;62976;Hugh Grant , who has a good line in charm , has never been more charming than in About a Boy .;4
7662;884;19925;Godard has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence .;4
7663;1233;26874;It is n't scary .;1
7664;5163;98496;There ai n't a lot more painful than an unfunny movie that thinks it 's hilarious .;2
7665;3126;61835;The movie is our story as much as it is Schmidt 's , no matter if it 's viewed as a self-reflection or cautionary tale .;2
7666;6680;124366;It 's makes a better travelogue than movie .;1
7667;5393;102460;The boys ' sparring , like the succession of blows dumped on Guei , wears down the story 's more cerebral , and likable , plot elements .;2
7668;2187;45040;Like shave ice without the topping , this cinematic snow cone is as innocuous as it is flavorless .;2
7669;437;10371;Interview With the Assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its Blair Witch Project real-time roots .;1
7670;6226;116741;Using an endearing cast , writer\/director Dover Kosashvili takes a slightly dark look at relationships , both sexual and kindred .;3
7671;5704;107853;New ways of describing badness need to be invented to describe exactly how bad it is .;0
7672;2888;57301;Though overall an overwhelmingly positive portrayal , the film does n't ignore the more problematic aspects of Brown 's life .;3
7673;8055;147984;`` Home Movie '' is the film equivalent of a lovingly rendered coffee table book .;2
7674;5588;105876;Borrows from other movies like it in the most ordinary and obvious fashion .;1
7675;2759;55325;There is simply not enough of interest onscreen to sustain its seventy-minute running time .;1
7676;53;1446;Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .;0
