;SentenceId;PhraseId;Phrase;Sentiment
512;513;11966;A processed comedy chop suey .;1
893;894;20122;Before long , you 're desperate for the evening to end .;0
940;941;21039;But it also has many of the things that made the first one charming .;3
417;418;9960;I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .;4
25;26;703;It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .;2
1027;1028;22695;-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .;1
518;519;12111;A sexy , peculiar and always entertaining costume drama set in Renaissance Spain , and the fact that it 's based on true events somehow makes it all the more compelling .;4
803;804;18386;Kitschy , flashy , overlong soap opera .;0
550;551;12784;Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates .;2
791;792;18133;With `` Ichi the Killer '' , Takashi Miike , Japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than Batman ...;1
487;488;11333;There 's no point of view , no contemporary interpretation of Joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .;1
469;470;11009;Brings awareness to an issue often overlooked -- women 's depression .;2
645;646;15013;A bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing .;4
744;745;17168;No , even that 's too committed .;1
225;226;5683;They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .;1
152;153;4054;He 's one of the few ` cool ' actors who never seems aware of his own coolness .;3
845;846;19280;A Meatballs for the bare-midriff generation .;2
680;681;15857;It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .;4
443;444;10518;Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .;3
806;807;18421;Execrable .;0
352;353;8522;For a movie audience , The Hours does n't connect in a neat way , but introduces characters who illuminate mysteries of sex , duty and love .;2
190;191;4912;The dragons are the real stars of Reign of Fire and you wo n't be disappointed .;3
17;18;474;Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .;2
276;277;6930;The jokes are flat , and the action looks fake .;0
1023;1024;22631;I highly recommend Irwin , but not in the way this film showcases him .;2
138;139;3687;The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension .;0
545;546;12678;One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .;2
891;892;20097;`` Abandon '' will leave you wanting to abandon the theater .;0
526;527;12320;An unbelievably stupid film , though occasionally fun enough to make you forget its absurdity .;1
729;730;16852;You can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .;0
929;930;20824;When you think you 've figured out Bielinsky 's great game , that 's when you 're in the most trouble : He 's the con , and you 're just the mark .;2
49;50;1333;Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .;4
146;147;3848;When cowering and begging at the feet a scruffy Giannini , Madonna gives her best performance since Abel Ferrara had her beaten to a pulp in his Dangerous Game .;4
687;688;16016;Woven together handsomely , recalling sixties ' rockumentary milestones from Lonely Boy to Do n't Look Back .;3
877;878;19861;The result is a powerful , naturally dramatic piece of low-budget filmmaking .;4
839;840;19142;Here is a VH1 Behind the Music special that has something a little more special behind it : music that did n't sell many records but helped change a nation .;3
95;96;2504;Invigorating , surreal , and resonant with a rainbow of emotion .;4
267;268;6701;An uplifting , largely bogus story .;2
815;816;18571;Did the film inform and educate me ?;2
843;844;19229;A naturally funny film , Home Movie makes you crave Chris Smith 's next movie .;4
957;958;21423;An entertaining , if ultimately minor , thriller .;3
916;917;20520;Sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor Hermocrates and Leontine pathetically compare notes about their budding amours .;1
1061;1062;23414;Bears is even worse than I imagined a movie ever could be .;0
984;985;21972;modeled;2
583;584;13608;And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends .;3
286;287;7102;-LRB- A -RRB- rather thinly-conceived movie .;0
751;752;17304;The movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the Holocaust escape story , Minac drains his movie of all individuality .;1
597;598;13892;I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .;2
689;690;16054;Paul Cox needed to show it .;1
543;544;12650;The film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .;4
448;449;10614;Obvious , obnoxious and didactic burlesque .;0
335;336;8125;This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .;1
982;983;21951;A solid and refined piece of moviemaking imbued with passion and attitude .;4
133;134;3591;It 's hard to say who might enjoy this , are there Tolstoy groupies out there ?;1
154;155;4118;... stale and uninspired .;1
1062;1063;23425;Crush could be the worst film a man has made about women since Valley of the Dolls .;0
44;45;1216;Fortunately , you still have that option .;2
756;757;17458;There are no special effects , and no Hollywood endings .;3
254;255;6431;Offers the flash of rock videos fused with solid performances and eerie atmosphere .;4
722;723;16739;Successfully blended satire , high camp and yet another sexual taboo into a really funny movie .;3
378;379;9064;... stumbles over every cheap trick in the book trying to make the outrage come even easier .;1
877;878;19861;The result is a powerful , naturally dramatic piece of low-budget filmmaking .;4
111;112;2930;And if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .;1
478;479;11150;I hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .;4
97;98;2556;Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .;1
548;549;12740;Blue Crush follows the formula , but throws in too many conflicts to keep the story compelling .;1
864;865;19659;A work that lacks both a purpose and a strong pulse .;0
993;994;22148;Cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle .;3
895;896;20140;Feels more like a rejected X-Files episode than a credible account of a puzzling real-life happening .;0
675;676;15743;Light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in Birthday Girl -- it 's simply , and surprisingly , a nice , light treat .;4
99;100;2598;Tsai may be ploughing the same furrow once too often .;2
209;210;5294;It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .;0
902;903;20283;Almost .;2
658;659;15401;In other words , it 's badder than bad .;0
501;502;11621;The film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .;1
230;231;5798;Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia .;2
676;677;15785;In his debut as a director , Washington has a sure hand .;4
853;854;19481;A somewhat disappointing and meandering saga .;2
278;279;6956;Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .;0
945;946;21121;"It is most of the things Costner movies are known for ; it 's sanctimonious , self-righteous and so eager to earn our love that you want to slap it .";1
174;175;4595;... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .;2
688;689;16037;It 's petty thievery like this that puts flimsy flicks like this behind bars;0
450;451;10645;Ca n't seem to get anywhere near the story 's center .;2
1030;1031;22765;An enigmatic film that 's too clever for its own good , it 's a conundrum not worth solving .;2
667;668;15580;If A Few Good Men told us that we `` ca n't handle the truth '' than High Crimes poetically states at one point in this movie that we `` do n't care about the truth . '';2
702;703;16305;Even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators , Scratch is great fun , full of the kind of energy it 's documenting .;3
381;382;9149;Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .;0
779;780;17918;feeling to it , but like the 1920 's , the trip there is a great deal of fun .;3
800;801;18349;Gives an intriguing twist to the French coming-of-age genre .;3
725;726;16792;The superior plotline is n't quite enough to drag along the dead -LRB- water -RRB- weight of the other .;1
209;210;5294;It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .;0
65;66;1755;Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .;0
786;787;18042;Coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .;1
321;322;7901;It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .;0
452;453;10683;A little more intensity and a little less charm would have saved this film a world of hurt .;1
866;867;19685;a stereotype;1
412;413;9879;Bearable .;2
719;720;16662;Twenty-three movies into a mostly magnificent directorial career , Clint Eastwood 's efficiently minimalist style finally has failed him .;1
868;869;19701;Kaufman and Jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .;2
532;533;12440;This one is strictly a lightweight escapist film .;2
820;821;18713;` Yes , that 's right : it 's Forrest Gump , Angel Of Death . ';3
100;101;2614;-LRB- Green is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .;1
621;622;14427;Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .;4
229;230;5796;Or both .;2
356;357;8594;They 're going through the motions , but the zip is gone .;2
862;863;19628;Though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we 've seen before .;1
883;884;19925;Godard has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence .;4
168;169;4474;Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .;2
38;39;1051;Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .;3
919;920;20606;An uncomfortable movie , suffocating and sometimes almost senseless , The Grey Zone does have a center , though a morbid one .;0
372;373;8939;Less front-loaded and more shapely than the two-hour version released here in 1990 .;2
255;256;6449;A breezy blend of art , history , esoteric musings and philosophy .;3
901;902;20258;Distances you by throwing out so many red herrings , so many false scares , that the genuine ones barely register .;0
193;194;4970;The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .;1
375;376;9009;Very well written and directed with brutal honesty and respect for its audience .;4
948;949;21193;I was amused and entertained by the unfolding of Bielinsky 's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise .;4
210;211;5318;Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .;3
411;412;9857;Anyone who suffers through this film deserves , at the very least , a big box of consolation candy .;0
606;607;14096;But I do .;2
599;600;13931;The early and middle passages are surprising in how much they engage and even touch us .;4
1038;1039;22978;The modern master of the chase sequence returns with a chase to end all chases;4
451;452;10658;Even with its $ 50-million US budget , Pinocchio never quite achieves the feel of a fanciful motion picture .;1
226;227;5717;It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 .;0
268;269;6708;Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .;4
382;383;9168;This ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .;0
51;52;1401;Finally coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .;2
249;250;6282;Black-and-white and unrealistic .;0
1015;1016;22473;Well , they 're ` they ' .;2
941;942;21052;Sheridan;2
1046;1047;23109;My own minority report is that it stinks .;0
994;995;22167;What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .;0
598;599;13912;Falsehoods pile up , undermining the movie 's reality and stifling its creator 's comic voice .;1
70;71;1918;But it has an ambition to say something about its subjects , but not a willingness .;1
1036;1037;22914;Glizty but formulaic and silly ... Cagney 's ` top of the world ' has been replaced by the bottom of the barrel .;1
445;446;10550;A straight-shooting family film which awards animals the respect they 've rarely been given .;4
