;SentenceId;PhraseId;Phrase;Sentiment
878;879;19873;A fifty car pileup of cliches .;-1
501;502;11621;The film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .;-1
70;71;1918;But it has an ambition to say something about its subjects , but not a willingness .;-1
1065;1066;23510;They presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .;-1
556;557;12955;Make Chan 's action sequences boring .;-1
941;942;21052;Sheridan;0
489;490;11422;Romantic , riveting and handsomely animated .;1
812;813;18531;An ambitious and moving but bleak film .;0
600;601;13949;Limps along on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly .;-1
257;258;6503;Genuinely unnerving .;1
231;232;5821;Phoned-in business as usual .;-1
240;241;6037;Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .;1
74;75;1984;Plays like a series of vignettes -- clips of a film that are still looking for a common through-line .;-1
792;793;18164;Were it not for a sentimental resolution that explains way more about Cal than does the movie or the character any good , Freundlich 's World Traveler might have been one of the more daring and surprising American movies of the year .;0
931;932;20887;It 's packed to bursting with incident , and with scores of characters , some fictional , some from history .;0
935;936;20953;Chris Columbus ' sequel is faster , livelier and a good deal funnier than his original .;1
363;364;8722;Resident Evil is what comes from taking John Carpenter 's Ghosts of Mars and eliminating the beheadings .;0
156;157;4164;Has the rare capability to soothe and break your heart with a single stroke .;1
635;636;14777;This is popcorn movie fun with equal doses of action , cheese , ham and cheek -LRB- as well as a serious debt to The Road Warrior -RRB- , but it feels like unrealized potential;1
540;541;12587;A sugar-coated Rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .;-1
724;725;16775;Same song , second verse , coulda been better , but it coulda been worse .;0
583;584;13608;And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends .;1
773;774;17823;Stage director Sam Mendes showcases Tom Hanks as a depression era hit-man in this dark tale of revenge .;1
836;837;19080;Once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .;0
541;542;12608;The movie is too amateurishly square to make the most of its own ironic implications .;-1
307;308;7584;-LRB- Allen 's -RRB- been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now .;0
666;667;15549;Statham employs an accent that I think is supposed to be an attempt at hardass American but sometimes just lapses into unhidden British .;-1
267;268;6701;An uplifting , largely bogus story .;0
