;SentenceId;PhraseId;Phrase;Sentiment
1855;1856;38914;Men in Black II achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as Whiffle-Ball epic .;0
1546;1547;33011;This often-hilarious farce manages to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal .;4
1946;1947;40656;Poetic , heartbreaking .;3
1938;1939;40514;... there 's enough cool fun here to warm the hearts of animation enthusiasts of all ages .;3
2065;2066;42808;A wild , endearing , masterful documentary .;4
1697;1698;35967;Painful , horrifying and oppressively tragic , this film should not be missed .;4
2043;2044;42401;"An intriguing look at the French film industry during the German occupation ; its most delightful moments come when various characters express their quirky inner selves .";3
2016;2017;41923;... you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for Frida to just die already .;0
1901;1902;39786;A rip-off twice removed , modeled after -LRB- Seagal 's -RRB- earlier copycat Under Siege , sometimes referred to as Die Hard on a boat .;0
1127;1128;24752;One of the most slyly exquisite anti-adult movies ever made .;4
1245;1246;27098;Their work is fantastic .;4
1359;1360;29348;After several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions , especially because Half Past Dead is like The Rock on a Wal-Mart budget .;0
1804;1805;37946;She 's as rude and profane as ever , always hilarious and , most of the time , absolutely right in her stinging social observations .;4
1934;1935;40466;... a pretentious mess ...;0
2072;2073;42904;Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth .;2
1971;1972;41135;Hill looks to be going through the motions , beginning with the pale script .;1
1311;1312;28376;-LRB- Washington 's -RRB- strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene .;4
1496;1497;31982;A simple tale of an unlikely friendship , but thanks to the gorgeous locales and exceptional lead performances , it has considerable charm .;4
1295;1296;28183;The satire is just too easy to be genuinely satisfying .;1
1484;1485;31669;Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .;2
1407;1408;30314;A wild ride with eight boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival .;4
1474;1475;31514;Ritchie 's film is easier to swallow than Wertmuller 's polemical allegory , but it 's self-defeatingly decorous .;1
1125;1126;24701;Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .;4
1644;1645;34955;Kicks off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .;1
1174;1175;25716;An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .;3
1372;1373;29613;There are now two signs that M. Night Shyamalan 's debut feature sucked up all he has to give to the mystic genres of cinema : Unbreakable and Signs .;0
1301;1302;28258;The symbols float like butterflies and the spinning styx sting like bees .;2
1465;1466;31338;To say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor .;0
1509;1510;32229;Oops , she 's really done it this time .;2
1936;1937;40493;The modern-day characters are nowhere near as vivid as the 19th-century ones .;1
1959;1960;40890;A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .;1
1756;1757;37069;Exactly what you 'd expect from a guy named Kaos .;2
1353;1354;29235;Though it inspires some -LRB- out-of-field -RRB- creative thought , the film is -- to its own detriment -- much more a cinematic collage than a polemical tract .;2
1654;1655;35196;This may be Burns 's strongest film since The Brothers McMullen .;4
2113;2114;43646;Who knew ...;2
1071;1072;23610;But it 's defiantly and delightfully against the grain .;3
1147;1148;25096;` Matrix ' - style massacres erupt throughout ... but the movie has a tougher time balancing its violence with Kafka-inspired philosophy .;1
1103;1104;24299;Although commentary on Nachtwey is provided ... it 's the image that really tells the tale .;3
1770;1771;37316;`` Interview '' loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into .;0
1544;1545;32983;But it 's hard to imagine a more generic effort in the genre .;0
